name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;841;0;864;3079;1702;3079;1679;0
header;76;175;76;211;1842;211;1842;175
A;859;235;859;260;879;260;879;235
A;1178;499;1178;500;1179;500;1179;499
B;863;918;863;948;886;948;886;918
A;1107;1050;1107;1054;1107;1054;1107;1050
A;1357;1329;1357;1329;1357;1329;1357;1329
C;864;1589;864;1620;888;1620;888;1589
A;1319;1915;1319;1915;1322;1915;1322;1915
D;877;2256;877;2285;898;2285;898;2256
C;1137;2401;1137;2420;1151;2420;1151;2401
A;1490;2474;1490;2474;1490;2474;1490;2474
A;1385;2780;1385;2792;1393;2792;1393;2780
